lex|string
HEADER|exam :
HEADER|study :
HEADER|abdomen :
HEADER|consent :
HEADER|addendum :
HEADER|discharge :
HEADER|admission :
HEADER|systems :
HEADER|views :
HEADER|dispo :
HEADER|events :
HEADER|information :
HEADER|soc :
HEADER|data :
HEADER|abg :
HEADER|pulm :
HEADER|pelvis :
HEADER|view :
HEADER|status :
HEADER|diagnoses :
HEADER|pain :
HEADER|results :
HEADER|assessment :
HEADER|other :
HEADER|labs :
HEADER|interpretation :
HEADER|comments :
HEADER|radiologist :
HEADER|family medical history :
HEADER|family social history :
HEADER|family history :
HEADER|social history :
HEADER|clinical history :
HEADER|social work note :
HEADER|lymphatics :
HEADER|postoperative plan :
HEADER|comparison study :
HEADER|diagnostic tests :
HEADER|operative indications :
HEADER|goals :
HEADER|developmental assessment :
HEADER|amniocentesis results :
HEADER|biopsy :
HEADER|family history :
HEADER|range of motion :
HEADER|diagnostic imaging :
HEADER|light microscopy :
HEADER|equipment :
HEADER|flow immunophenotyping :
HEADER|medications include :
HEADER|problem list :
HEADER|reason for referral :
HEADER|pet/ct :
HEADER|pet :
HEADER|principal diagnosis :
HEADER|chromosome analysis :
HEADER|technical summary :
HEADER|patient condition :
HEADER|bilateral screening mammogram :
HEADER|smoking :
HEADER|smoking status :
HEADER|complications :
HEADER|external cc :
HEADER|imaging :
HEADER|imaging finding :
HEADER|comment :
HEADER|clinical information :
HEADER|allergies :
HEADER|abdomen :
HEADER|summary :
HEADER|ct :
