id|string|lex
|others|IDEATION
|felt|IDEATION
|psych|IDEATION
|far|IDEATION
|literally|IDEATION
|look|IDEATION
|anyway|IDEATION
|sometimes|IDEATION
|ones|IDEATION
|harm|IDEATION
|helping|IDEATION
|remember|IDEATION
|walk|IDEATION
|hospitalized|IDEATION
|play|IDEATION
|hotline|IDEATION
|easy|IDEATION
|means|IDEATION
|school|IDEATION
|numb|IDEATION
|pretty|IDEATION
|bleed|IDEATION
|less|IDEATION
|games|IDEATION
|waste|IDEATION
|skills|IDEATION
|answer|IDEATION
|goodbye|IDEATION
|inpatient|IDEATION
|reach|IDEATION
|whole|IDEATION
|brain|IDEATION
|depressed|IDEATION
|helped|IDEATION
|body|IDEATION
|painless|IDEATION
|coping|IDEATION
|hold|IDEATION
|deep|IDEATION
|damn|IDEATION
|ready|IDEATION
|taken|IDEATION
|fine|IDEATION
|hard|IDEATION
|exist|IDEATION
|idea|IDEATION
|slitting|IDEATION
|part|IDEATION
|suffering|IDEATION
|working|IDEATION
|god|IDEATION
|inside|IDEATION
|earth|IDEATION
|stopped|IDEATION
|week|IDEATION
|painful|IDEATION
|therapists|IDEATION
|theyd|IDEATION
|exhausted|IDEATION
|itll|IDEATION
|safety|IDEATION
|brave|IDEATION
|best|IDEATION
|wanted|IDEATION
|dad|IDEATION
|different|IDEATION
|driving|IDEATION
|guns|IDEATION
|close|IDEATION
|pointless|IDEATION
|survive|IDEATION
|medicine|IDEATION
|contemplating|IDEATION
|next|IDEATION
|told|IDEATION
|planned|IDEATION
|sick|IDEATION
|let|IDEATION
|lot|IDEATION
|listening|IDEATION
|kids|IDEATION
|little|IDEATION
|watch|IDEATION
|pathetic|IDEATION
|reasons|IDEATION
|me|SELF
|my|SELF
|i'm|SELF
|i've|SELF
|i'd|SELF
|i|SELF
|military|MILITARY
|army|MILITARY
|va|MILITARY
|veteran|MILITARY
|deployed|MILITARY
|deployment|MILITARY
|veterans|MILITARY
|civilian|MILITARY
|marines|MILITARY
|iraq|MILITARY
|afghanistan|MILITARY
|combat|MILITARY
|vet|MILITARY
|vets|MILITARY
|ptsd|MILITARY
|soldier|MILITARY
|corps|MILITARY
|duty|MILITARY
|soldiers|MILITARY
|war|MILITARY
|enlisted|MILITARY
|infantry|MILITARY
|served|MILITARY
|base|MILITARY
|training|MILITARY
|overseas|MILITARY
|command|MILITARY
|deployments|MILITARY
|stationed|MILITARY
|tours|MILITARY
|boot|MILITARY
|joined|MILITARY
|discharge|MILITARY
|deploy|MILITARY
|deploying|MILITARY
|discharged|MILITARY
|enlist|MILITARY
|buddies|MILITARY
|barracks|MILITARY
|chaplain|MILITARY
|unit|MILITARY
|medic|MILITARY
|honorably|MILITARY
|ieds|MILITARY
|commander|MILITARY
|sergeants|MILITARY
|reenlist|MILITARY
|medically|MILITARY
|honorable|MILITARY
|retired|MILITARY
|nco|MILITARY
|basic|MILITARY
|asvab|MILITARY
|desert|MILITARY
|recruiter|MILITARY
|enlistment|MILITARY
|sgt|MILITARY
|tbi|MILITARY
|mogadishu|MILITARY
|sergeant|MILITARY
|platoon|MILITARY
|dishonorable|MILITARY
|usmc|MILITARY
|serving|MILITARY
|country|MILITARY
|ait|MILITARY
|joining|MILITARY
|infantryman|MILITARY
|corpsman|MILITARY
|dishonorably|MILITARY
|sgts|MILITARY
|paratrooper|MILITARY
|solider|MILITARY
|battalion|MILITARY
|clearance|MILITARY
|injury|MILITARY
|reservist|MILITARY
|sniper|MILITARY
|mst|MILITARY
|commanding|MILITARY
|serve|MILITARY
|disabled|MILITARY
|airborne|MILITARY
|join|MILITARY
|deployable|MILITARY
|career|MILITARY
|awol|MILITARY
|airforce|MILITARY
|spec|MILITARY
|recon|MILITARY
|air|MILITARY
|civilians|MILITARY
|meps|MILITARY
|eod|MILITARY
|fort|MILITARY
|vietnam|MILITARY
|service|MILITARY
|sailors|MILITARY
|active|MILITARY
|spankennyspan|MILITARY
|mcjrotc|MILITARY
|nightmares|MILITARY
|terrorists|MILITARY
|seas|MILITARY
|stateside|MILITARY
|fellow|MILITARY
|kuwait|MILITARY
|enogydaerla|MILITARY
|bootcamp|MILITARY
|guard|MILITARY
|convoy|MILITARY
|artillery|MILITARY
|ied|MILITARY
|mp|MILITARY
|reenlisting|MILITARY
|firefights|MILITARY
|spellcheck|MILITARY
|officer|MILITARY
|jamestt|MILITARY
|japan|MILITARY
|recruiters|MILITARY
|national|MILITARY
|resistive|MILITARY
|cellar|MILITARY
|tks|MILITARY
|humvee|MILITARY
|afghan|MILITARY
|cheire|MILITARY
|technological|MILITARY
|gulf|MILITARY
|disqualified|MILITARY
|cpt|MILITARY
|mamakat|MILITARY
|photoshopped|MILITARY
|lejeune|MILITARY
|gjco|MILITARY
|usauly|MILITARY
|taliban|MILITARY
|chaplins|MILITARY
|reclassed|MILITARY
|antiseizure|MILITARY
|sippin|MILITARY
|orders|MILITARY
|tricare|MILITARY
|aircraft|MILITARY
|esl|MILITARY
|pt|MILITARY
|tour|MILITARY
|blacksmithing|MILITARY
|idf|MILITARY
|herding|MILITARY
|usaf|MILITARY
|soilders|MILITARY
|chaplains|MILITARY
|uniform|MILITARY
|semper|MILITARY
|guns|MILITARY
|years|MILITARY
|corp|MILITARY
|perished|MILITARY
|bh|MILITARY
|united|MILITARY
|parishes|MILITARY
|imf|MILITARY
|contested|MILITARY
|eof|MILITARY
|mwr|MILITARY
|tundra|MILITARY
|blurrs|MILITARY
|glbt|MILITARY
|province|MILITARY
|ibdo|MILITARY
|prototypes|MILITARY
|ccsg|MILITARY
|menot|MILITARY
|kandahar|MILITARY
|resins|MILITARY
|meb|MILITARY
|carsick|MILITARY
|warfighter|MILITARY
|contraband|MILITARY
|esply|MILITARY
|kosovo|MILITARY
|expatriate|MILITARY
|bridged|MILITARY
|mysix|MILITARY
|reenlistment|MILITARY
|fatigues|MILITARY
|strave|MILITARY
|ative|MILITARY
|unbaised|MILITARY
|shipmate|MILITARY
|dilaudid|MILITARY
|insode|MILITARY
|civy|MILITARY
|nrvs|MILITARY
|combatants|MILITARY
|benfits|MILITARY
|scrubbedwhich|MILITARY
|normalization|MILITARY
|collisions|MILITARY
|oef|MILITARY
|njp|MILITARY
|servive|MILITARY
|disqualifying|MILITARY
|comunncasions|MILITARY
|yaall|MILITARY
|giveanhour|MILITARY
|prodigal|MILITARY
|mosul|MILITARY
|surgies|MILITARY
|layla|MILITARY
|gestapo|MILITARY
|eery|MILITARY
|vetrans|MILITARY
|fucscrubbed|MILITARY
|itsy|MILITARY
|ulnar|MILITARY
|fiberglass|MILITARY
|homeless|MILITARY
|illiminati|MILITARY
|lodges|MILITARY
|kosh|MILITARY
|handstand|MILITARY
|flag|MILITARY
|fireworks|MILITARY
|gun|MILITARY
|medical|MILITARY
